; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1540156680,"CurrentTimeLocal","Sun Oct 21 14:18:00 2018","Hostname","nid02171","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 6.3e-05
; "Time_ContextDestroy [ms]", 6.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",47045881,0,0,9,73,"Success",0.008523,5532.040985,5512.212202,266.152758,2577.468925,2732.083637,43.463462,875.003152,17538.43533,376367056,0,376367048,4.8134139973e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",47045881,0,0,10,73,"Success",0.008729,5532.617838,5528.237377,266.159855,2574.18221,2738.834747,43.509686,875.944302,17559.496559,376367056,0,376367048,4.8134139973e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"oddshape",47045881,0,0,11,73,"Success",0.008691,5512.458269,5524.690296,266.174937,2575.061676,2736.045028,43.483656,874.286134,17532.210445,376367056,0,376367048,4.8134139973e-16,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",4,0,0,0,0,"Warmup",0.000164,0.001541,0.0007,4.8e-05,9.8e-05,0.000123,2.8e-05,0.000798,0.003671,48,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",4,0,0,1,0,"Warmup",0.000161,0.001573,0.000702,4.9e-05,0.000102,0.000122,1.9e-05,0.000784,0.00369,48,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",4,0,0,2,0,"Success",0.000158,0.001566,0.00075,6.9e-05,9.1e-05,0.000116,2.5e-05,0.000812,0.00376,48,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",4,0,0,3,0,"Success",0.000171,0.001516,0.000737,3.8e-05,9e-05,0.000118,2.8e-05,0.000779,0.003654,48,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",4,0,0,4,0,"Success",0.000158,0.001539,0.000697,3.6e-05,9e-05,0.000121,2.5e-05,0.000767,0.003606,48,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",4,0,0,5,0,"Success",0.000136,0.001491,0.000766,3.6e-05,9e-05,0.00012,2.7e-05,0.000792,0.003627,48,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",4,0,0,6,0,"Success",0.000154,0.001509,0.000766,3.5e-05,8.9e-05,0.000116,2.4e-05,0.00078,0.003655,48,0,32,0,0
