; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065374720,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1540697996,"CurrentTimeLocal","Sat Oct 27 20:39:56 2018","Hostname","nid01146","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7e-05
; "Time_ContextDestroy [ms]", 0.000147
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",2,"oddshape",256,267,0,7,4,"Success",0.005074,23.099109,22.857466,0.041824,0.582442,0.256123,0.067622,1.16393,48.074219,546816,0,546816,1.2088967055e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",256,267,0,8,4,"Success",0.00504,23.137093,22.771692,0.041432,0.587586,0.256814,0.069359,1.179706,48.049341,546816,0,546816,1.2088967055e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",256,267,0,9,4,"Success",0.00503,23.094089,22.818661,0.042578,0.571648,0.253953,0.06879,1.2037,48.058997,546816,0,546816,1.2088967055e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",256,267,0,10,4,"Success",0.005084,23.097244,22.749409,0.041808,0.568397,0.252079,0.069033,1.179741,47.963528,546816,0,546816,1.2088967055e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",256,267,0,11,4,"Success",0.005165,23.076011,22.777725,0.042051,0.560102,0.253536,0.068012,1.156401,47.939778,546816,0,546816,1.2088967055e-07,0
"Fftw","Inplace","Complex","float",2,"oddshape",511,513,0,0,2,"Warmup",0.010665,29.438203,33.307351,1.233065,0.967336,0.66318,0.257912,1.333381,67.211781,2097144,0,2097144,7.5329534447e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",511,513,0,1,2,"Warmup",0.003887,29.205569,32.95567,0.160074,0.928541,0.672359,0.257093,1.184493,65.368488,2097144,0,2097144,7.5329534447e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",511,513,0,2,2,"Success",0.00392,29.156364,32.773911,0.160057,0.895202,0.661761,0.258319,1.209884,65.120171,2097144,0,2097144,7.5329534447e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",511,513,0,3,2,"Success",0.003934,29.155597,33.012236,0.16039,0.922141,0.656444,0.256966,1.191943,65.360283,2097144,0,2097144,7.5329534447e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",511,513,0,4,2,"Success",0.005923,29.692014,32.77138,0.160358,0.880136,0.672409,0.257838,1.198445,65.639146,2097144,0,2097144,7.5329534447e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",511,513,0,5,2,"Success",0.00381,29.274294,33.365167,0.160889,0.922575,0.661584,0.257862,1.215248,65.862173,2097144,0,2097144,7.5329534447e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",511,513,0,6,2,"Success",0.003842,29.085375,33.407641,0.161281,0.880294,0.651959,0.257363,1.204311,65.652716,2097144,0,2097144,7.5329534447e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",511,513,0,7,2,"Success",0.003963,29.586098,33.364319,0.160241,0.952767,0.656335,0.257607,1.20054,66.182692,2097144,0,2097144,7.5329534447e-08,0
"Fftw","Inplace","Complex","float",2,"oddshape",511,513,0,8,2,"Success",0.003794,29.248948,32.727218,0.161275,0.891365,0.677329,0.256,1.21524,65.181833,2097144,0,2097144,7.5329534447e-08,0
