; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1540722755,"CurrentTimeLocal","Sun Oct 28 03:32:35 2018","Hostname","nid00725","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 5.2e-05
; "Time_ContextDestroy [ms]", 7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,3,73,"Success",0.013053,680.516014,222.159226,276.838329,881.894162,881.934821,43.940969,49.465046,3036.764278,376367048,0,376367048,9.4868001656e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,4,73,"Success",0.01322,679.363509,220.569509,276.744069,891.867181,881.590258,44.264513,49.143662,3043.557968,376367048,0,376367048,9.4868001656e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,5,73,"Success",0.012977,679.083083,221.888882,276.238623,888.219004,888.830925,43.873618,49.170671,3047.319944,376367048,0,376367048,9.4868001656e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,6,73,"Success",0.013286,681.58659,220.051341,276.225037,887.463685,887.310826,43.935372,49.2254,3045.814102,376367048,0,376367048,9.4868001656e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,7,73,"Success",0.013469,680.964832,221.109202,276.389037,885.573733,885.456952,43.592733,49.220921,3042.323072,376367048,0,376367048,9.4868001656e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,8,73,"Success",0.013709,678.971191,220.541431,276.220667,886.084386,886.504186,43.869331,49.159295,3041.366486,376367048,0,376367048,9.4868001656e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,9,73,"Success",0.01301,679.377099,223.178657,276.638769,883.437057,884.94283,43.939288,49.397793,3040.926928,376367048,0,376367048,9.4868001656e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,10,73,"Success",0.020354,678.938515,221.424916,276.808233,883.918486,885.602326,44.260129,49.458492,3040.433881,376367048,0,376367048,9.4868001656e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,11,73,"Success",0.013565,680.367457,220.759673,276.350437,884.489879,885.019194,44.35278,49.230535,3040.585762,376367048,0,376367048,9.4868001656e-08,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,0,0,"Warmup",8.6e-05,0.01582,0.010836,7.1e-05,0.00018,8.9e-05,3.2e-05,0.000309,0.027737,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,1,0,"Warmup",8.2e-05,0.015773,0.01094,7e-05,0.000162,8.9e-05,2.3e-05,0.000308,0.027731,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,2,0,"Success",8.7e-05,0.016828,0.011618,7.6e-05,0.000162,7.9e-05,3.7e-05,0.000325,0.02952,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,3,0,"Success",8.3e-05,0.015771,0.010751,7.2e-05,0.000165,6.2e-05,2.2e-05,0.000323,0.027534,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,4,0,"Success",8.5e-05,0.015271,0.010733,7.5e-05,0.00016,7.5e-05,2.4e-05,0.000317,0.026979,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,5,0,"Success",8.9e-05,0.016382,0.011592,7.6e-05,0.000171,7.4e-05,2.2e-05,0.000326,0.029001,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,6,0,"Success",8.4e-05,0.015752,0.010724,6.7e-05,0.000148,8.7e-05,2.2e-05,0.000309,0.027442,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,7,0,"Success",8.1e-05,0.015776,0.010716,7.5e-05,0.00014,8.1e-05,2.7e-05,0.000314,0.02745,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,8,0,"Success",8.4e-05,0.0156,0.010702,7.3e-05,0.000148,8.3e-05,2.7e-05,0.000286,0.027245,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,9,0,"Success",8.1e-05,0.015532,0.01089,7.1e-05,0.000142,5.7e-05,2.3e-05,0.000317,0.027361,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,10,0,"Success",8.2e-05,0.015639,0.010831,7e-05,0.000146,4.7e-05,3.3e-05,0.000331,0.027428,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,11,0,"Success",8.8e-05,0.015838,0.010739,7.1e-05,0.000161,5e-05,3.1e-05,0.000308,0.027512,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,0,1,"Warmup",0.000139,0.020367,0.01466,0.00011,0.00026,0.000196,6.2e-05,0.000655,0.036788,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,1,1,"Warmup",0.000118,0.020905,0.015144,0.000102,0.000234,0.000129,3.7e-05,0.000394,0.037354,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,2,1,"Success",9.9e-05,0.020528,0.015404,0.000117,0.000217,0.00014,3.5e-05,0.000381,0.037205,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,3,1,"Success",0.000119,0.02027,0.015263,6.7e-05,0.000196,0.000131,2.2e-05,0.000353,0.036726,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,4,1,"Success",9.6e-05,0.019871,0.015104,6.7e-05,0.000211,0.000126,3.3e-05,0.000353,0.036121,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,5,1,"Success",0.000106,0.019898,0.015271,8.4e-05,0.000223,0.000139,3.1e-05,0.000378,0.036328,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,6,1,"Success",0.000121,0.019526,0.015212,8.2e-05,0.000217,0.000128,4.3e-05,0.000325,0.0359,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,7,1,"Success",9.2e-05,0.019785,0.015117,8e-05,0.00023,0.000103,1.6e-05,0.000369,0.036064,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,8,1,"Success",9.1e-05,0.019874,0.015257,7.9e-05,0.000196,0.000107,2.9e-05,0.000346,0.036221,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,9,1,"Success",9.6e-05,0.020043,0.015278,8.1e-05,0.0002,0.000124,2.8e-05,0.000384,0.036469,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,10,1,"Success",0.0001,0.019607,0.015158,8e-05,0.000185,0.000117,3.5e-05,0.000334,0.035868,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,11,1,"Success",9.6e-05,0.019904,0.015424,8e-05,0.000198,0.000117,3.4e-05,0.000355,0.036442,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,0,2,"Warmup",0.000162,0.025047,0.018704,0.000116,0.000279,0.000159,4.7e-05,0.000436,0.045243,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,1,2,"Warmup",0.000118,0.023496,0.018117,5.9e-05,0.000243,0.000132,1.8e-05,0.000399,0.042894,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,2,2,"Success",0.000105,0.023223,0.017793,6.6e-05,0.000273,0.000125,3.1e-05,0.000378,0.042274,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,3,2,"Success",9e-05,0.023305,0.017692,5.4e-05,0.00024,0.00014,2.9e-05,0.000384,0.042164,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,4,2,"Success",9.1e-05,0.023343,0.017672,5.4e-05,0.000239,0.000144,3e-05,0.00042,0.042219,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,5,2,"Success",0.000106,0.023783,0.017886,5.3e-05,0.000243,0.000134,3.5e-05,0.000364,0.042836,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,6,2,"Success",0.000103,0.023235,0.017908,5.5e-05,0.000247,0.00014,3e-05,0.000387,0.042343,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,7,2,"Success",8.8e-05,0.023081,0.017786,5.3e-05,0.000239,0.000154,1.7e-05,0.000342,0.042013,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,8,2,"Success",9.1e-05,0.022607,0.017614,6.6e-05,0.000265,0.000121,3.1e-05,0.00036,0.041403,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,9,2,"Success",0.000101,0.023267,0.017594,6.7e-05,0.000222,0.000129,3e-05,0.000366,0.041994,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,10,2,"Success",0.000106,0.023323,0.017753,6.5e-05,0.000247,0.000132,2.9e-05,0.000364,0.042236,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,11,2,"Success",8.9e-05,0.023405,0.017774,5.3e-05,0.000209,0.000143,3e-05,0.000379,0.042342,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,0,3,"Warmup",0.000178,0.03055,0.02248,0.000121,0.000404,0.000283,5.1e-05,0.000532,0.054918,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,1,3,"Warmup",0.000108,0.02832,0.022063,7.1e-05,0.000396,0.000277,3.4e-05,0.000401,0.051964,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,2,3,"Success",0.00012,0.027392,0.02182,7.3e-05,0.000356,0.000273,1.8e-05,0.000407,0.050778,256,0,256,0,0
